x,y,type
48.559096704220714,48.270963996684806,apple
48.886841384323375,57.01983725098863,apple
48.724117162171126,35.02646585659043,apple
53.323183440677155,47.326625215028315,apple
47.83041315854805,51.158847867008554,apple
52.32297736906721,61.63558686599143,apple
56.56636506798669,51.10507177443832,apple
42.616783976551794,39.85337632512283,apple
52.46342195211202,63.11080827204048,apple
50.41656863903384,48.936767062292155,apple
55.317762204008694,35.46454701991322,apple
46.8772268285544,54.903625325935245,apple
58.73404385379447,47.59370327344865,apple
53.7659985868791,52.48213449328414,apple
57.823268087036425,38.86777785751828,apple
55.68250687585386,34.85479608274861,apple
23.800545777811482,43.931092718004976,apple
40.841899536540055,58.76012243056407,apple
56.64265899612895,37.80925258704305,apple
58.473614233480006,39.977971757576505,apple
49.13756153663716,47.06100222043468,apple
51.14419857460921,58.18636311543767,apple
56.38413790792443,53.498851018692086,apple
56.499480978062984,54.784920376501184,apple
43.730145347804,42.826289061834224,apple
45.300317258639865,54.993264004767816,apple
47.498844290026156,73.35754222480548,apple
41.807074578135065,39.01125400097842,apple
57.684735154696966,64.21849981343465,apple
55.0569269083926,58.358173459676735,apple
64.26344977442162,49.05972523983696,apple
35.770410668610225,44.679234516812876,apple
59.52895757316577,35.563215939217116,apple
50.335313207872616,52.532373593420616,apple
46.844078351863295,57.23631986368097,apple
55.80779741526566,73.21408516900732,apple
56.19967767773136,43.905965413569376,apple
44.3820240766597,41.68418898757994,apple
59.52273559815821,44.33167165186299,apple
49.29739226299402,57.49302619289675,apple
42.765370093485934,47.063420363822814,apple
31.58713734396084,39.17521380961287,apple
44.3226358780815,54.157609885166714,apple
61.93493272443297,49.81533186836288,apple
52.61364279199803,51.67969368547232,apple
60.84741113453604,58.93355198738207,apple
52.73693315407542,39.89055696554688,apple
59.033853143445945,53.81047127955752,apple
62.269415497142205,49.70093407318787,apple
69.53100924483846,46.41123659678178,apple
165.93060414263044,151.15118972607232,orange
144.83730990754498,138.71552127207605,orange
148.48969448461165,164.23321026167184,orange
158.16374496614728,156.88883864266003,orange
126.24127426908802,157.10964204570038,orange
155.55852410919843,144.50073715594672,orange
143.72615633819603,149.97689548186418,orange
167.24876263148732,139.44899300577674,orange
145.72194965263716,163.61784750350583,orange
145.5384920057225,146.3574852413906,orange
150.97776347288678,137.58710623364306,orange
152.19945430150014,137.90382403026365,orange
158.85198310358146,150.0318082275799,orange
172.8343146684775,152.80840513531035,orange
163.6568949043275,136.96736028282635,orange
148.77860656478134,153.23145654014104,orange
167.4572091837105,133.19084061979035,orange
159.90619679808822,155.91354013815916,orange
165.3354619573813,157.12385518078722,orange
150.5207118510395,144.7835034958184,orange
137.5182028215728,151.95422764902972,orange
148.0830323100469,170.20267338079643,orange
143.88975172015154,153.20391845205114,orange
134.3099858032427,146.04537421673822,orange
152.611478800911,158.23960012519504,orange
164.48101686828102,149.5585182367073,orange
138.82755120939115,154.5785039949154,orange
155.16987098413793,154.9165834283827,orange
142.99712300825266,161.3338439758689,orange
150.87895910904516,156.99824621715985,orange
162.74073240094447,156.0927232056585,orange
152.8651602798177,171.52795235100524,orange
152.4370304097215,147.04035767227919,orange
151.1196703758303,164.82768668437134,orange
151.187124868868,155.19377655139212,orange
161.95731440332162,144.8714138977317,orange
132.73430230746354,152.9942315221644,orange
152.2973479452397,143.91989821439185,orange
158.71086381042417,156.0756737698457,orange
140.05007578400583,155.18218444021204,orange
148.03895041097425,135.1697472979272,orange
154.52950233065968,149.5478537332061,orange
142.54717100810132,155.22945586896748,orange
154.88093272192378,144.22462816055702,orange
154.0035219053468,160.15064936192445,orange
142.87333364314298,153.8089002740159,orange
150.02755750481307,172.66010310650884,orange
131.37697029221812,156.95283931406462,orange
146.93754980218785,148.9980245117017,orange
169.0158897638327,149.91426848739206,orange
193.79925145695026,185.2733966016255,predicted_orange
169.7391468828611,33.2622221207828,predicted_orange
97.1282250901437,42.749459839836334,predicted_apple
80.20805850989052,11.727079994435785,predicted_apple
75.79462379538322,197.0617687559452,predicted_orange
53.04061163443039,156.81412038971388,predicted_orange
91.00167346782865,84.60149719803258,predicted_apple
191.46352817193463,199.08453789854278,predicted_orange
111.15366468112364,143.6816550592652,predicted_orange
30.959365054812828,59.34156509891284,predicted_apple
193.74187299383178,115.83605816325124,predicted_orange
108.43904027485485,149.5951120758128,predicted_orange
11.433054581496616,116.83551889179424,predicted_apple
100.57007658390272,170.54397840965706,predicted_orange
31.486545587896654,192.15578065489007,predicted_orange
16.022293048117376,37.16499219614464,predicted_apple
119.00702129000553,135.04251072081803,predicted_orange
47.04077900018624,23.97732278942484,predicted_apple
178.0574628258875,49.24306955772497,predicted_orange
118.90383070668824,123.87630206642062,predicted_orange
83.8449830671745,116.73445785824495,predicted_apple
104.55654310639177,186.94125154728545,predicted_orange
40.85183988470729,143.23836015788297,predicted_apple
47.737190523169204,79.1571693582509,predicted_apple
134.33804459199425,59.99941595975245,predicted_apple
63.2354392543708,150.37289848288043,predicted_orange
14.508622898631462,91.65710452371722,predicted_apple
199.69088817088846,199.2192895710189,predicted_orange
14.6521442199266,42.63086245340808,predicted_apple
53.04008295008027,186.6518755987418,predicted_orange
176.1728347372879,175.85404849690855,predicted_orange
73.9054177477768,31.549366471446394,predicted_apple
166.74899092796142,140.7079850174742,predicted_orange
122.33555314519002,197.44661272630086,predicted_orange
130.79526354214653,1.5646214304315897,predicted_apple
163.42082702309233,59.87575043999558,predicted_orange
132.67774299321547,187.78600078542078,predicted_orange
26.858222878673544,23.08573408382044,predicted_apple
21.407195541883528,110.64472817696318,predicted_apple
54.469642462963265,120.96596540604479,predicted_apple
143.5224374277596,40.71946246549059,predicted_apple
126.84759177701595,52.79678032608188,predicted_apple
97.7063704298753,181.06729821586464,predicted_orange
169.2207426589711,18.459693542546685,predicted_apple
84.71515451274527,55.33604479445033,predicted_apple
0.70913781755646,154.22384460392541,predicted_apple
127.42267546027593,52.39105248686964,predicted_apple
148.24618166958615,110.33608422527826,predicted_orange
85.53738379613587,1.9339399216679931,predicted_apple
15.048772014753409,176.6212786600286,predicted_apple
